ID,Name
Atlanta 2017,$90.12
Audience Participation Parcel,$295.19
AUG | Akihabara Accept,$273.84
AUG | Amber Fade,$1.57
AUG | Amber Slipstream,$0.24
AUG | Anodized Navy,$34.92
AUG | Arctic Wolf,$1.92
AUG | Aristocrat,$1.06
AUG | Bengal Tiger,$10.95
AUG | Carved Jade,$3.17
AUG | Chameleon,$69.27
AUG | Colony,$0.28
AUG | Commando Company,$0.01
AUG | Condemned,$0.03
AUG | Contractor,$0.01
AUG | Copperhead,$80.71
AUG | Daedalus,$3.72
AUG | Death by Puppy,$5.44
AUG | Eye of Zapems,$2.72
AUG | Flame Jörmungandr,$327.94
AUG | Fleet Flock,$10.25
AUG | Hot Rod,$459.86
AUG | Lil' Pig,$46.23
AUG | Luxe Trim,$0.10
AUG | Midnight Lily,$322.53
AUG | Momentum,$5.03
AUG | Navy Murano,$1.66
AUG | Plague,$0.65
AUG | Radiation Hazard,$1.70
AUG | Random Access,$0.79
AUG | Ricochet,$0.16
AUG | Sand Storm,$1.84
AUG | Snake Pit,$0.02
AUG | Spalted Wood,$0.02
AUG | Steel Sentinel,$0.02
AUG | Storm,$0.01
AUG | Stymphalian,$3.62
AUG | Surveillance,$0.43
AUG | Sweeper,$0.01
AUG | Syd Mead,$9.41
AUG | Tom Cat,$0.13
AUG | Torque,$5.62
AUG | Trigger Discipline,$0.07
AUG | Triqua,$0.12
AUG | Wings,$15.35
Austin 2025  Autograph Capsule,$0.22
Austin 2025  Sticker Capsule,$0.22
Austin 2025 Ancient Highlight Package,$0.00
Austin 2025 Anubis Highlight Package,$0.00
Austin 2025 Dust II Highlight Package,$0.00
Austin 2025 Inferno Highlight Package,$0.00
Austin 2025 Mirage Highlight Package,$0.00
Austin 2025 Nuke Highlight Package,$0.00
Austin 2025 Souvenir Package,$0.00
Austin 2025 Train Highlight Package,$0.00
Autograph Capsule | Astralis | Atlanta 2017,$8.29
Autograph Capsule | Astralis | Cologne 2016,$13.20
Autograph Capsule | Astralis | MLG Columbus 2016,$9.61
Autograph Capsule | Atlanta 2017,$70.33
Autograph Capsule | Cloud9 | Cluj-Napoca 2015,$13.61
Autograph Capsule | Cloud9 | MLG Columbus 2016,$19.99
Autograph Capsule | Cloud9 G2A | Cologne 2015,$7.26
Autograph Capsule | Cluj-Napoca 2015,$24.65
Autograph Capsule | Cologne 2016,$40.56
Autograph Capsule | Counter Logic Gaming | Cluj-Napoca 2015,$9.10
Autograph Capsule | Counter Logic Gaming | Cologne 2015,$10.71
Autograph Capsule | Counter Logic Gaming | Cologne 2016,$23.03
Autograph Capsule | Counter Logic Gaming | MLG Columbus 2016,$12.37
Autograph Capsule | FaZe Clan | Atlanta 2017,$10.54
Autograph Capsule | FaZe Clan | Cologne 2016,$13.85
Autograph Capsule | FaZe Clan | MLG Columbus 2016,$7.13
Autograph Capsule | Flipsid3 Tactics | Atlanta 2017,$10.88
Autograph Capsule | Flipsid3 Tactics | Cluj-Napoca 2015,$14.53
Autograph Capsule | Flipsid3 Tactics | Cologne 2015,$10.33
Autograph Capsule | Flipsid3 Tactics | Cologne 2016,$17.54
Autograph Capsule | Flipsid3 Tactics | MLG Columbus 2016,$12.01
Autograph Capsule | Fnatic | Atlanta 2017,$6.66
Autograph Capsule | Fnatic | Cluj-Napoca 2015,$4.16
Autograph Capsule | Fnatic | Cologne 2015,$4.28
Autograph Capsule | Fnatic | Cologne 2016,$6.96
Autograph Capsule | Fnatic | MLG Columbus 2016,$5.04
Autograph Capsule | G2 Esports | Atlanta 2017,$9.50
Autograph Capsule | G2 Esports | Cluj-Napoca 2015,$7.88
Autograph Capsule | G2 Esports | Cologne 2016,$23.91
Autograph Capsule | G2 Esports | MLG Columbus 2016,$16.66
Autograph Capsule | Gambit Gaming | Atlanta 2017,$8.25
Autograph Capsule | Gambit Gaming | Cologne 2016,$24.62
Autograph Capsule | Gambit Gaming | MLG Columbus 2016,$7.96
Autograph Capsule | GODSENT | Atlanta 2017,$6.71
Autograph Capsule | Group A | Cologne 2015,$18.40
Autograph Capsule | Group B | Cologne 2015,$26.00
Autograph Capsule | Group C | Cologne 2015,$22.60
Autograph Capsule | Group D | Cologne 2015,$26.78
Autograph Capsule | HellRaisers | Atlanta 2017,$9.27
Autograph Capsule | Luminosity Gaming | Cluj-Napoca 2015,$12.76
Autograph Capsule | Luminosity Gaming | Cologne 2015,$11.45
Autograph Capsule | Luminosity Gaming | MLG Columbus 2016,$6.20
Autograph Capsule | MLG Columbus 2016,$34.00
Autograph Capsule | mousesports | Atlanta 2017,$12.40
Autograph Capsule | mousesports | Cluj-Napoca 2015,$42.95
Autograph Capsule | mousesports | Cologne 2015,$8.45
Autograph Capsule | mousesports | Cologne 2016,$15.00
Autograph Capsule | mousesports | MLG Columbus 2016,$9.76
Autograph Capsule | Natus Vincere | Atlanta 2017,$17.53
Autograph Capsule | Natus Vincere | Cluj-Napoca 2015,$5.46
Autograph Capsule | Natus Vincere | Cologne 2015,$6.34
Autograph Capsule | Natus Vincere | Cologne 2016,$11.88
Autograph Capsule | Natus Vincere | MLG Columbus 2016,$6.54
Autograph Capsule | Ninjas in Pyjamas | Cluj-Napoca 2015,$4.00
Autograph Capsule | Ninjas in Pyjamas | Cologne 2015,$4.20
Autograph Capsule | Ninjas in Pyjamas | Cologne 2016,$5.82
Autograph Capsule | Ninjas in Pyjamas | MLG Columbus 2016,$7.06
Autograph Capsule | North | Atlanta 2017,$7.20
Autograph Capsule | OpTic Gaming | Atlanta 2017,$15.35
Autograph Capsule | OpTic Gaming | Cologne 2016,$11.76
Autograph Capsule | Renegades | Cologne 2015,$8.31
Autograph Capsule | SK Gaming | Atlanta 2017,$7.99
Autograph Capsule | SK Gaming | Cologne 2016,$7.92
Autograph Capsule | Splyce | MLG Columbus 2016,$9.00
Autograph Capsule | Team Dignitas | Cluj-Napoca 2015,$39.07
Autograph Capsule | Team Dignitas | Cologne 2016,$32.00
Autograph Capsule | Team eBettle | Cologne 2015,$13.32
Autograph Capsule | Team EnVyUs | Atlanta 2017,$10.00
Autograph Capsule | Team EnVyUs | Cluj-Napoca 2015,$5.21
Autograph Capsule | Team EnVyUs | Cologne 2015,$5.66
Autograph Capsule | Team EnVyUs | Cologne 2016,$13.96
Autograph Capsule | Team EnVyUs | MLG Columbus 2016,$11.34
Autograph Capsule | Team Immunity | Cologne 2015,$16.45
Autograph Capsule | Team Kinguin | Cologne 2015,$8.83
Autograph Capsule | Team Liquid | Atlanta 2017,$10.76
Autograph Capsule | Team Liquid | Cluj-Napoca 2015,$9.71
Autograph Capsule | Team Liquid | Cologne 2016,$10.84
Autograph Capsule | Team Liquid | MLG Columbus 2016,$11.18
Autograph Capsule | Team SoloMid | Cluj-Napoca 2015,$4.37
Autograph Capsule | Team SoloMid | Cologne 2015,$4.56
Autograph Capsule | Titan | Cluj-Napoca 2015,$18.74
Autograph Capsule | Titan | Cologne 2015,$24.42
Autograph Capsule | Vexed Gaming | Cluj-Napoca 2015,$14.50
Autograph Capsule | Virtus.Pro | Atlanta 2017,$7.98
Autograph Capsule | Virtus.Pro | Cluj-Napoca 2015,$5.83
Autograph Capsule | Virtus.Pro | Cologne 2015,$5.47
Autograph Capsule | Virtus.Pro | Cologne 2016,$9.39
Autograph Capsule | Virtus.Pro | MLG Columbus 2016,$8.90
AWP | Acheron,$0.46
AWP | Arsenic Spill,$0.46
AWP | Asiimov,$75.57
AWP | Atheris,$3.68
AWP | Black Nile,$3.07
AWP | BOOM,$112.00
AWP | Capillary,$0.20
AWP | Chromatic Aberration,$10.00
AWP | Chrome Cannon,$27.19
AWP | CMYK,$169.15
AWP | Containment Breach,$55.28
AWP | Corticera,$26.69
AWP | Crakow!,$27.01
AWP | Desert Hydra,"$1,234.27"
AWP | Dragon Lore,"$4,835.50"
AWP | Duality,$3.55
AWP | Electric Hive,$33.38
AWP | Elite Build,$16.63
AWP | Exoskeleton,$4.31
AWP | Fade,$925.30
AWP | Fever Dream,$13.24
AWP | Graphite,$183.24
AWP | Green Energy,$14.48
AWP | Gungnir,"$7,616.96"
AWP | Hyper Beast,$33.06
AWP | Ice Coaled,$7.11
AWP | Lightning Strike,$559.90
AWP | LongDog,$87.13
AWP | Man-o'-war,$111.96
AWP | Medusa,"$1,853.89"
AWP | Mortis,$4.10
AWP | Neo-Noir,$39.51
AWP | Oni Taiji,$310.04
AWP | PAW,$2.19
AWP | Phobos,$2.24
AWP | Pink DDPAT,$22.73
AWP | Pit Viper,$0.79
AWP | POP AWP,$11.02
AWP | Printstream,$44.83
AWP | Redline,$38.99
AWP | Safari Mesh,$0.11
AWP | Silk Tiger,$206.79
AWP | Snake Camo,$77.75
AWP | Sun in Leo,$22.66
AWP | The Prince,"$1,873.66"
AWP | Wildfire,$44.74
AWP | Worm God,$2.60
B Squadron Officer | SAS,$13.16
Baggage Pin,$2.82
Battlefield 2042 Sticker Capsule,$0.69
Bayonet,$239.09
Bayonet | Autotronic,$251.18
Bayonet | Black Laminate,$155.57
Bayonet | Blue Steel,$184.70
Bayonet | Boreal Forest,$118.14
Bayonet | Bright Water,$144.76
Bayonet | Case Hardened,$222.18
Bayonet | Crimson Web,$186.97
Bayonet | Damascus Steel,$164.99
Bayonet | Doppler,$399.16
Bayonet | Doppler - Black Pearl,"$1,887.38"
Bayonet | Doppler - Phase 1,$413.16
Bayonet | Doppler - Phase 2,$500.14
Bayonet | Doppler - Phase 3,$399.38
Bayonet | Doppler - Phase 4,$412.15
Bayonet | Doppler - Ruby,"$1,970.59"
Bayonet | Doppler - Sapphire,"$1,442.07"
Bayonet | Fade,$372.07
Bayonet | Forest DDPAT,$117.46
Bayonet | Freehand,$157.03
Bayonet | Gamma Doppler,$518.44
Bayonet | Gamma Doppler - Emerald,"$1,924.10"
Bayonet | Gamma Doppler - Phase 1,$518.44
Bayonet | Gamma Doppler - Phase 2,$675.33
Bayonet | Gamma Doppler - Phase 3,$532.99
Bayonet | Gamma Doppler - Phase 4,$519.15
Bayonet | Lore,$205.38
Bayonet | Marble Fade,$358.00
Bayonet | Night,$134.63
Bayonet | Rust Coat,$127.99
Bayonet | Safari Mesh,$118.47
Bayonet | Scorched,$119.88
Bayonet | Slaughter,$288.61
Bayonet | Stained,$152.50
Bayonet | Tiger Tooth,$292.90
Bayonet | Ultraviolet,$132.60
Bayonet | Urban Masked,$121.75
Berlin 2019,$1.71
Berlin 2019  Autograph Capsule,$0.78
Bestiary Capsule,$0.68
Bio-Haz Specialist | SWAT,$17.92
Black Mesa Pin,$5.30
Blackwolf | Sabre,$11.01
Bloodhound Gloves | Bronzed,$81.39
Bloodhound Gloves | Charred,$140.73
Bloodhound Gloves | Guerrilla,$91.37
Bloodhound Gloves | Snakebite,$89.58
Bloodhound Pin,$7.13
Bloody Darryl The Strapped | The Professionals,$44.46
Boston 2018,$36.61
Boston 2018  Autograph Capsule,$10.64
Boston 2018 Attending,$27.76
Boston 2018 Attending  Autograph Capsule,$8.24
Bowie Knife,$100.93
Bowie Knife | Autotronic,$86.19
Bowie Knife | Black Laminate,$57.35
Bowie Knife | Blue Steel,$96.81
Bowie Knife | Boreal Forest,$58.73
Bowie Knife | Bright Water,$58.01
Bowie Knife | Case Hardened,$136.92
Bowie Knife | Crimson Web,$118.08
Bowie Knife | Damascus Steel,$80.34
Bowie Knife | Doppler,$253.95
Bowie Knife | Doppler - Black Pearl,"$1,111.52"
Bowie Knife | Doppler - Phase 1,$259.43
Bowie Knife | Doppler - Phase 2,$293.83
Bowie Knife | Doppler - Phase 3,$253.95
Bowie Knife | Doppler - Phase 4,$276.74
Bowie Knife | Doppler - Ruby,$807.56
Bowie Knife | Doppler - Sapphire,$468.39
Bowie Knife | Fade,$218.93
Bowie Knife | Forest DDPAT,$54.87
Bowie Knife | Freehand,$76.20
Bowie Knife | Gamma Doppler,$194.56
Bowie Knife | Gamma Doppler - Emerald,$537.28
Bowie Knife | Gamma Doppler - Phase 1,$203.96
Bowie Knife | Gamma Doppler - Phase 2,$216.17
Bowie Knife | Gamma Doppler - Phase 3,$206.10
Bowie Knife | Gamma Doppler - Phase 4,$206.29
Bowie Knife | Lore,$85.47
Bowie Knife | Marble Fade,$172.65
Bowie Knife | Night,$69.45
Bowie Knife | Rust Coat,$54.62
Bowie Knife | Safari Mesh,$53.17
Bowie Knife | Scorched,$56.92
Bowie Knife | Slaughter,$180.68
Bowie Knife | Stained,$81.61
Bowie Knife | Tiger Tooth,$138.36
Bowie Knife | Ultraviolet,$66.01
Bowie Knife | Urban Masked,$63.27
Bravo Pin,$3.42
Brigadier General Pin,$14.21
Broken Fang Gloves | Jade,$89.56
Broken Fang Gloves | Needle Point,$56.17
Broken Fang Gloves | Unhinged,$61.86
Broken Fang Gloves | Yellow-banded,$56.15
Buckshot | NSWC SEAL,$8.97
Budapest 2025  Autograph Capsule,$0.17
Budapest 2025  Sticker Capsule,$0.18
Budapest 2025 Souvenir Package,$0.00
Butterfly Knife,"$1,361.28"
Butterfly Knife | Autotronic,$738.29
Butterfly Knife | Black Laminate,$641.29
Butterfly Knife | Blue Steel,$801.35
Butterfly Knife | Boreal Forest,$440.89
Butterfly Knife | Bright Water,$537.00
Butterfly Knife | Case Hardened,$643.53
Butterfly Knife | Crimson Web,$590.68
Butterfly Knife | Damascus Steel,$749.32
Butterfly Knife | Doppler,"$2,161.91"
Butterfly Knife | Doppler - Black Pearl,"$11,259.76"
Butterfly Knife | Doppler - Phase 1,"$2,473.85"
Butterfly Knife | Doppler - Phase 2,"$4,473.36"
Butterfly Knife | Doppler - Phase 3,"$2,161.91"
Butterfly Knife | Doppler - Phase 4,"$2,882.41"
Butterfly Knife | Doppler - Ruby,"$9,404.86"
Butterfly Knife | Doppler - Sapphire,"$7,062.25"
Butterfly Knife | Fade,"$1,809.33"
Butterfly Knife | Forest DDPAT,$438.87
Butterfly Knife | Freehand,$562.18
Butterfly Knife | Gamma Doppler,"$2,174.60"
Butterfly Knife | Gamma Doppler - Emerald,"$9,352.15"
Butterfly Knife | Gamma Doppler - Phase 1,"$2,198.29"
Butterfly Knife | Gamma Doppler - Phase 2,"$2,650.07"
Butterfly Knife | Gamma Doppler - Phase 3,"$2,185.00"
Butterfly Knife | Gamma Doppler - Phase 4,"$2,174.60"
Butterfly Knife | Lore,$557.63
Butterfly Knife | Marble Fade,"$1,570.85"
Butterfly Knife | Night,$511.65
Butterfly Knife | Rust Coat,$559.46
Butterfly Knife | Safari Mesh,$434.75
Butterfly Knife | Scorched,$443.84
Butterfly Knife | Slaughter,"$1,231.85"
Butterfly Knife | Stained,$564.98
Butterfly Knife | Tiger Tooth,"$1,258.38"
Butterfly Knife | Ultraviolet,$510.73
Butterfly Knife | Urban Masked,$455.44
Cache,$25.87
Cache Pin,$22.04
Canals Pin,$2.88
Case Key,$2.30
Charm | 8 Ball IGL,$46.20
Charm | Austin 2025 Highlight | 1 Bullet,$2.87
Charm | Austin 2025 Highlight | 1 Holds 1 Dodges,$0.34
Charm | Austin 2025 Highlight | 100 Utility Damage,$0.37
Charm | Austin 2025 Highlight | 180 One Tap,$0.09
Charm | Austin 2025 Highlight | 1v2 Clutch,$0.16
Charm | Austin 2025 Highlight | 1v2 Denied,$0.19
Charm | Austin 2025 Highlight | 2 Crucial Misses,$1.00
Charm | Austin 2025 Highlight | 2 In The Back,$0.32
Charm | Austin 2025 Highlight | 2 Pistol Headshots,$0.16
Charm | Austin 2025 Highlight | 2K Dualies,$0.59
Charm | Austin 2025 Highlight | 2K Spraydown,$0.12
Charm | Austin 2025 Highlight | 3-2-1-GO!,$1.07
Charm | Austin 2025 Highlight | 8HP Clutch,$1.35
Charm | Austin 2025 Highlight | 910 Ace,$1.08
Charm | Austin 2025 Highlight | 910 Clutch Denied,$0.08
Charm | Austin 2025 Highlight | 910 Double AWP Kill,$0.24
Charm | Austin 2025 Highlight | 910 Double Deagle,$0.45
Charm | Austin 2025 Highlight | 910 Double Kill,$0.12
Charm | Austin 2025 Highlight | 910 Spray and Pray,$0.26
Charm | Austin 2025 Highlight | 910 Triple Kill vs FaZe,$0.29
Charm | Austin 2025 Highlight | 910 Triple Kill vs Vitality,$0.12
Charm | Austin 2025 Highlight | A Defender,$0.10
Charm | Austin 2025 Highlight | A Triple And Icy Veins,$0.58
Charm | Austin 2025 Highlight | A Triple Into Overtime,$5.89
Charm | Austin 2025 Highlight | Ace Unleashed,$1.26
Charm | Austin 2025 Highlight | Afterplant Secured,$2.87
Charm | Austin 2025 Highlight | Airborne,$8.28
Charm | Austin 2025 Highlight | Aleksib Double Kill,$0.53
Charm | Austin 2025 Highlight | Almost,$0.13
Charm | Austin 2025 Highlight | Almost 500 Damage,$0.23
Charm | Austin 2025 Highlight | Almost The Ace,$0.99
Charm | Austin 2025 Highlight | Almost There,$2.16
Charm | Austin 2025 Highlight | Always Buy A Defuser,$0.14
Charm | Austin 2025 Highlight | An Entry And A Donk,$0.53
Charm | Austin 2025 Highlight | Anchor Man,$2.15
Charm | Austin 2025 Highlight | Anchoring Double Kill,$0.93
Charm | Austin 2025 Highlight | apEX Double Kill,$0.20
Charm | Austin 2025 Highlight | apEX Triple Kill,$0.21
Charm | Austin 2025 Highlight | apEX: Help Is Here,$0.09
Charm | Austin 2025 Highlight | apEX: The Joker,$0.09
Charm | Austin 2025 Highlight | Applaud The Spray Transfer,$4.74
Charm | Austin 2025 Highlight | Awareness,$0.43
Charm | Austin 2025 Highlight | AWP Defender,$0.30
Charm | Austin 2025 Highlight | AWP Denied,$0.15
Charm | Austin 2025 Highlight | AWP Double Kill,$0.94
Charm | Austin 2025 Highlight | AWP Kill,$6.49
Charm | Austin 2025 Highlight | AWP Shutdown,$0.70
Charm | Austin 2025 Highlight | AWP Slayer,$0.60
Charm | Austin 2025 Highlight | B Site Survivor,$0.36
Charm | Austin 2025 Highlight | b1t Double AK Kill,$0.61
Charm | Austin 2025 Highlight | b1t Double Entry,$0.24
Charm | Austin 2025 Highlight | b1t Double MP9 Kill,$0.21
Charm | Austin 2025 Highlight | b1t: The Mirage Cowboy,$0.29
Charm | Austin 2025 Highlight | b1t: The Nuke Cowboy,$0.91
Charm | Austin 2025 Highlight | Backstabber,$0.23
Charm | Austin 2025 Highlight | Backup Is Here,$0.20
Charm | Austin 2025 Highlight | Baited Into A Double Kill,$0.12
Charm | Austin 2025 Highlight | biguzera Double Kill,$0.37
Charm | Austin 2025 Highlight | biguzera: The Entry Demon,$2.00
Charm | Austin 2025 Highlight | Blast,$1.14
Charm | Austin 2025 Highlight | bLitz Almost The Hero,$0.10
Charm | Austin 2025 Highlight | bLitz Double Connector Kill,$0.11
Charm | Austin 2025 Highlight | bLitz Double Dust II Kill,$0.09
Charm | Austin 2025 Highlight | bLitz Double Headshot,$0.17
Charm | Austin 2025 Highlight | bLitz Double Smoke Kill,$0.14
Charm | Austin 2025 Highlight | bLitz Kobe,$0.14
Charm | Austin 2025 Highlight | bLitz Triple Kill vs paiN,$0.29
Charm | Austin 2025 Highlight | bLitz Triple Kill vs Vitality,$0.10
Charm | Austin 2025 Highlight | Blocking B,$0.20
Charm | Austin 2025 Highlight | Bodyblocking Smokes,$1.42
Charm | Austin 2025 Highlight | Bombsite Battle,$0.92
Charm | Austin 2025 Highlight | Bombsite Cleared,$0.28
Charm | Austin 2025 Highlight | Boom,$0.43
Charm | Austin 2025 Highlight | Boost Kill,$0.22
Charm | Austin 2025 Highlight | Brollan Closer,$0.17
Charm | Austin 2025 Highlight | Brollan Double Deagle,$0.23
Charm | Austin 2025 Highlight | Brollan Double Kill,$0.13
Charm | Austin 2025 Highlight | Brollan Smoke Criminal,$0.12
Charm | Austin 2025 Highlight | Brollan Triple Kill,$0.13
Charm | Austin 2025 Highlight | Burning Triple Kill,$0.10
Charm | Austin 2025 Highlight | Captain Brazil,$1.56
Charm | Austin 2025 Highlight | Catches Smoke,$0.38
Charm | Austin 2025 Highlight | Chaos Mode,$1.50
Charm | Austin 2025 Highlight | Cheeky Boost,$0.13
Charm | Austin 2025 Highlight | chopper Double Kill,$0.17
Charm | Austin 2025 Highlight | chopper Triple Entry,$0.31
Charm | Austin 2025 Highlight | Clean Defense Double,$0.12
Charm | Austin 2025 Highlight | Cleaning Up,$0.19
Charm | Austin 2025 Highlight | Close Call,$0.34
Charm | Austin 2025 Highlight | Closing Kills,$0.11
Charm | Austin 2025 Highlight | Closing Out,$0.67
Charm | Austin 2025 Highlight | Clutch and Defuse,$0.74
Charm | Austin 2025 Highlight | Clutch Double Kill,$0.19
Charm | Austin 2025 Highlight | Clutch King,$0.79
Charm | Austin 2025 Highlight | Clutch or Nothing,$3.13
Charm | Austin 2025 Highlight | Clutch Veteran,$0.10
Charm | Austin 2025 Highlight | Clutch Win,$0.25
Charm | Austin 2025 Highlight | Clutching MP9,$1.57
Charm | Austin 2025 Highlight | Clutching Up,$0.64
Charm | Austin 2025 Highlight | Cover Fire,$0.21
Charm | Austin 2025 Highlight | Damage Dealer,$0.90
Charm | Austin 2025 Highlight | Dancing Legend,$0.25
Charm | Austin 2025 Highlight | dav1deuS Almost Clutch,$0.40
Charm | Austin 2025 Highlight | dav1deuS Clutch Denied,$0.24
Charm | Austin 2025 Highlight | dav1deuS Double Anubis Kill,$1.72
Charm | Austin 2025 Highlight | dav1deus Double Mirage Kill,$0.44
Charm | Austin 2025 Highlight | Deadly Deagle,$0.26
Charm | Austin 2025 Highlight | Deadly Defense,$0.63
Charm | Austin 2025 Highlight | Deagle Supremacy,$0.18
Charm | Austin 2025 Highlight | Defender,$0.22
Charm | Austin 2025 Highlight | Defending Connector,$0.19
Charm | Austin 2025 Highlight | Denied,$0.29
Charm | Austin 2025 Highlight | dgt Almost Clutch,$1.20
Charm | Austin 2025 Highlight | dgt Clutch Attempt,$0.95
Charm | Austin 2025 Highlight | dgt Triple Kill,$0.88
Charm | Austin 2025 Highlight | Domination,$0.27
Charm | Austin 2025 Highlight | Don't Bring A Knife To A Gunfight,$8.42
Charm | Austin 2025 Highlight | donk Ace,$9.07
Charm | Austin 2025 Highlight | donk Triple Kill,$18.94
Charm | Austin 2025 Highlight | Double AWP Entry,$1.37
Charm | Austin 2025 Highlight | Double Down,$0.30
Charm | Austin 2025 Highlight | Double Duals Dominate,$0.54
Charm | Austin 2025 Highlight | Double From The Defender,$0.14
Charm | Austin 2025 Highlight | Double Glock Down,$0.89
Charm | Austin 2025 Highlight | Double Into Victory,$0.28
Charm | Austin 2025 Highlight | Double Kill To Victory,$2.08
Charm | Austin 2025 Highlight | Double Pistol Kill,$0.40
Charm | Austin 2025 Highlight | Double Spraydown,$0.23
Charm | Austin 2025 Highlight | Duals No Damage,$0.79
Charm | Austin 2025 Highlight | Dust II Retake King,$0.08
Charm | Austin 2025 Highlight | Eco Farmer,$1.23
Charm | Austin 2025 Highlight | Eco Finisher,$0.26
Charm | Austin 2025 Highlight | Eco Fragger,$0.09
Charm | Austin 2025 Highlight | Eco Frags,$0.45
Charm | Austin 2025 Highlight | Eco Tastes Good,$0.62
Charm | Austin 2025 Highlight | EliGE: The Clutch God,$7.09
Charm | Austin 2025 Highlight | Exploit,$0.76
Charm | Austin 2025 Highlight | Exposed,$0.35
Charm | Austin 2025 Highlight | Eyes Open,$0.51
Charm | Austin 2025 Highlight | Failed Lurk,$0.15
Charm | Austin 2025 Highlight | Failed Revenge,$0.29
Charm | Austin 2025 Highlight | FalleN Closer,$4.94
Charm | Austin 2025 Highlight | FalleN Double Anubis Kill,$3.22
Charm | Austin 2025 Highlight | FalleN Double Nuke Kill,$4.28
Charm | Austin 2025 Highlight | FalleN King Of Banana,$9.41
Charm | Austin 2025 Highlight | FAMAS Specialist,$1.30
Charm | Austin 2025 Highlight | Fast Double,$0.15
Charm | Austin 2025 Highlight | Fast MP9 Double Kill,$0.53
Charm | Austin 2025 Highlight | Fast Reactions,$1.33
Charm | Austin 2025 Highlight | Fear Him,$0.09
Charm | Austin 2025 Highlight | Fierce Fight,$0.34
Charm | Austin 2025 Highlight | Fire Fight,$1.43
Charm | Austin 2025 Highlight | flameZ Almost Clutch,$0.28
Charm | Austin 2025 Highlight | flameZ Clutch Denied,$0.11
Charm | Austin 2025 Highlight | flameZ Double Dust II Kill,$0.10
Charm | Austin 2025 Highlight | flameZ Double Nuke Kill,$0.62
Charm | Austin 2025 Highlight | flameZ Double Train Kill,$0.09
Charm | Austin 2025 Highlight | flameZ Retake Denied,$0.23
Charm | Austin 2025 Highlight | flameZ Triple Entry,$0.11
Charm | Austin 2025 Highlight | flameZ Triple Kill vs MongolZ,$0.09
Charm | Austin 2025 Highlight | flameZ Triple Kill vs MOUZ,$0.25
Charm | Austin 2025 Highlight | flameZ: The Entry Demon,$0.28
Charm | Austin 2025 Highlight | Flying Double Entry,$1.42
Charm | Austin 2025 Highlight | Flying Frenchman,$0.55
Charm | Austin 2025 Highlight | Flying Mongolian,$0.43
Charm | Austin 2025 Highlight | Focused But Fallen,$0.37
